	metric	pseudo_f	p_value	variable	iteration	subset	analysis_type	partial_R2	formula
748	uwuf	3.39973755516515	0.001	Gender	4		adonis	0.0050392664231527	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
749	uwuf	2.15138154324154	0.005	InBody_BMI	4		adonis	0.0031888887298892	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
750	uwuf	2.61258568920735	0.003	N05B_Anxiolytics	4		adonis	0.0038725093121467	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
751	uwuf	7.0679499796405	0.001	N06A_Antidepressants	4		adonis	0.0104764801503024	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
752	uwuf	4.07779637319345	0.001	cobre	4		adonis	0.0060443201895592	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
753	wuf	8.23186506217045	0.001	Age	4		adonis	0.0121499390330815	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
754	wuf	3.71545471365334	0.007	Gender	4		adonis	0.0054838785512308	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
755	wuf	0.439596354306391	0.852	GroupAssignment	4		adonis	0.0006488285295798	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
756	wuf	1.35865456655398	0.224	InBody_BMI	4		adonis	0.002005325649288	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
757	wuf	1.02262300304745	0.376	N05B_Anxiolytics	4		adonis	0.0015093550546584	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
758	wuf	5.97554412056981	0.001	N06A_Antidepressants	4		adonis	0.0088196898523102	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
759	wuf	5.77942009489284	0.001	cobre	4		adonis	0.0085302177901589	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
760	wuf	8.23250023937389	0.001	Age	4		adonis	0.0121499390330815	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
761	wuf	0.489861947570796	0.782	DX_MDD	4		adonis	0.0007229629668452	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
762	wuf	3.71574140107068	0.009	Gender	4		adonis	0.0054838785512308	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
763	wuf	1.35875940141236	0.219	InBody_BMI	4		adonis	0.002005325649288	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
764	wuf	1.02270190944525	0.371	N05B_Anxiolytics	4		adonis	0.0015093550546584	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
765	wuf	5.97600519826908	0.002	N06A_Antidepressants	4		adonis	0.0088196898523102	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
766	wuf	5.77986603950754	0.001	cobre	4		adonis	0.0085302177901589	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
767	wuf	8.24521834728027	0.001	Age	4		adonis	0.0121499390330815	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
768	wuf	1.49632634152681	0.171	DX_ANX	4		adonis	0.0022049475292721	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
769	wuf	3.72148172280976	0.008	Gender	4		adonis	0.0054838785512308	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
770	wuf	1.36085850231531	0.225	InBody_BMI	4		adonis	0.002005325649288	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
771	wuf	1.02428184662863	0.344	N05B_Anxiolytics	4		adonis	0.0015093550546584	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
772	wuf	5.98523732420297	0.001	N06A_Antidepressants	4		adonis	0.0088196898523102	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
773	wuf	5.78879515676688	0.002	cobre	4		adonis	0.0085302177901589	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
774	rpca	3.71751455029621	0.017	Age	4		adonis	0.0054132687809466	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
775	rpca	12.905719464172	0.001	Gender	4		adonis	0.0187926980045016	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
776	rpca	0.352043251468886	0.73	GroupAssignment	4		adonis	0.000512628724632	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
777	rpca	2.60363865356973	0.061	InBody_BMI	4		adonis	0.0037912954070648	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
778	rpca	1.32662346060417	0.246	N05B_Anxiolytics	4		adonis	0.0019317663095058	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
779	rpca	9.44080731156604	0.002	N06A_Antidepressants	4		adonis	0.0137472568823062	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
780	rpca	5.39482592124649	0.006	cobre	4		adonis	0.0078556902314742	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
781	rpca	3.71864325737089	0.03	Age	4		adonis	0.0054132687809466	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
782	rpca	0.549805936559101	0.628	DX_MDD	4		adonis	0.0008003583850252	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
783	rpca	12.9096378824232	0.001	Gender	4		adonis	0.0187926980045016	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
784	rpca	2.60442916705083	0.077	InBody_BMI	4		adonis	0.0037912954070648	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
785	rpca	1.32702624834452	0.275	N05B_Anxiolytics	4		adonis	0.0019317663095058	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
786	rpca	9.44367371756369	0.001	N06A_Antidepressants	4		adonis	0.0137472568823062	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
787	rpca	5.39646389148214	0.005	cobre	4		adonis	0.0078556902314742	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
788	rpca	3.72010547830076	0.02	Age	4		adonis	0.0054132687809466	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
789	rpca	0.806004151110376	0.445	DX_ANX	4		adonis	0.001172847687779	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
790	rpca	12.9147141270109	0.001	Gender	4		adonis	0.0187926980045016	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
791	rpca	2.60545326389876	0.058	InBody_BMI	4		adonis	0.0037912954070648	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
792	rpca	1.32754805305137	0.264	N05B_Anxiolytics	4		adonis	0.0019317663095058	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
793	rpca	9.44738709806538	0.002	N06A_Antidepressants	4		adonis	0.0137472568823062	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
794	rpca	5.39858585422588	0.007	cobre	4		adonis	0.0078556902314742	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
795	uwuf	2.79488226345005	0.002	Age	5		adonis	0.0041441845985157	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
796	uwuf	3.29983100470658	0.002	Gender	5		adonis	0.0048929105194323	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
797	uwuf	1.81330643142625	0.011	GroupAssignment	5		adonis	0.0026887274228968	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
798	uwuf	2.14744036956314	0.004	InBody_BMI	5		adonis	0.0031841732376908	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
799	uwuf	2.55937288711112	0.002	N05B_Anxiolytics	5		adonis	0.0037949769259803	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
800	uwuf	6.92060378444286	0.001	N06A_Antidepressants	5		adonis	0.0102617058296096	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
801	uwuf	3.87522161922227	0.001	cobre	5		adonis	0.0057460859658509	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
802	uwuf	2.79432199761531	0.001	Age	5		adonis	0.0041441845985157	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
803	uwuf	1.68244260333461	0.033	DX_MDD	5		adonis	0.0024951858556659	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
804	uwuf	3.29916951617215	0.001	Gender	5		adonis	0.0048929105194323	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
805	uwuf	2.14700989079595	0.005	InBody_BMI	5		adonis	0.0031841732376908	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
806	uwuf	2.55885983180078	0.001	N05B_Anxiolytics	5		adonis	0.0037949769259803	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
807	uwuf	6.91921647095673	0.001	N06A_Antidepressants	5		adonis	0.0102617058296096	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
808	uwuf	3.87444478711606	0.001	cobre	5		adonis	0.0057460859658509	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
809	uwuf	2.79364184002439	0.002	Age	5		adonis	0.0041441845985157	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
810	uwuf	1.52357511484379	0.042	DX_ANX	5		adonis	0.0022601238409152	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
811	uwuf	3.29836647515108	0.001	Gender	5		adonis	0.0048929105194323	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
812	uwuf	2.14648729351609	0.005	InBody_BMI	5		adonis	0.0031841732376908	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
813	uwuf	2.55823698735401	0.001	N05B_Anxiolytics	5		adonis	0.0037949769259803	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
814	uwuf	6.91753228509342	0.001	N06A_Antidepressants	5		adonis	0.0102617058296096	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
815	uwuf	3.8735017200555	0.001	cobre	5		adonis	0.0057460859658509	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
816	wuf	8.33384234627643	0.001	Age	5		adonis	0.0122960111222166	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
817	wuf	3.70285153361348	0.011	Gender	5		adonis	0.0054633027299312	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
818	wuf	0.449563305875521	0.827	GroupAssignment	5		adonis	0.0006632997337243	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
819	wuf	1.35030558972266	0.218	InBody_BMI	5		adonis	0.0019922830142136	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
820	wuf	1.05297574273211	0.351	N05B_Anxiolytics	5		adonis	0.0015535932773966	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
821	wuf	5.96454529404869	0.001	N06A_Antidepressants	5		adonis	0.0088002762984058	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
822	wuf	5.91387389709846	0.001	cobre	5		adonis	0.0087255141377373	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
823	wuf	8.3345731052067	0.001	Age	5		adonis	0.0122960111222166	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
824	wuf	0.506686127045857	0.768	DX_MDD	5		adonis	0.0007475149806696	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
825	wuf	3.70317622080016	0.008	Gender	5		adonis	0.0054633027299312	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
826	wuf	1.35042399223464	0.208	InBody_BMI	5		adonis	0.0019922830142136	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
827	wuf	1.05306807366368	0.371	N05B_Anxiolytics	5		adonis	0.0015535932773966	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
828	wuf	5.96506829947135	0.001	N06A_Antidepressants	5		adonis	0.0088002762984058	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
829	wuf	5.91439245936341	0.001	cobre	5		adonis	0.0087255141377373	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
830	wuf	8.34790875685819	0.001	Age	5		adonis	0.0122960111222166	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
831	wuf	1.54912298675524	0.186	DX_ANX	5		adonis	0.0022817730798956	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
832	wuf	3.70910145145821	0.013	Gender	5		adonis	0.0054633027299312	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
833	wuf	1.35258472484985	0.215	InBody_BMI	5		adonis	0.0019922830142136	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
834	wuf	1.05475302486855	0.375	N05B_Anxiolytics	5		adonis	0.0015535932773966	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
835	wuf	5.97461264828382	0.002	N06A_Antidepressants	5		adonis	0.0088002762984058	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
836	wuf	5.92385572479676	0.001	cobre	5		adonis	0.0087255141377373	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
837	rpca	3.26999112226766	0.027	Age	5		adonis	0.0047564205684888	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
838	rpca	14.4861196844952	0.001	Gender	5		adonis	0.021071028956538	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
839	rpca	0.588836653719895	0.604	GroupAssignment	5		adonis	0.0008565022553612	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
840	rpca	2.23968496495982	0.087	InBody_BMI	5		adonis	0.0032577714238204	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
841	rpca	0.808375069628498	0.441	N05B_Anxiolytics	5		adonis	0.0011758355495375	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
842	rpca	9.07929613685684	0.001	N06A_Antidepressants	5		adonis	0.0132064428550495	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
843	rpca	6.01760084188258	0.002	cobre	5		adonis	0.008753002484434	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
844	rpca	3.27123518632951	0.037	Age	5		adonis	0.0047564205684888	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
845	rpca	0.836732817492505	0.46	DX_MDD	5		adonis	0.0012166209265792	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
846	rpca	14.4916309107405	0.001	Gender	5		adonis	0.021071028956538	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
847	rpca	2.24053705032354	0.098	InBody_BMI	5		adonis	0.0032577714238204	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
848	rpca	0.808682614919911	0.443	N05B_Anxiolytics	5		adonis	0.0011758355495375	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
849	rpca	9.08275034379759	0.002	N06A_Antidepressants	5		adonis	0.0132064428550495	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
850	rpca	6.01989023065031	0.002	cobre	5		adonis	0.008753002484434	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
851	rpca	3.2699694357053	0.031	Age	5		adonis	0.0047564205684888	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
852	rpca	0.584515320292535	0.559	DX_ANX	5		adonis	0.0008502222258345	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
853	rpca	14.4860236126325	0.001	Gender	5		adonis	0.021071028956538	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
854	rpca	2.23967011138198	0.094	InBody_BMI	5		adonis	0.0032577714238204	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
855	rpca	0.808369708489673	0.459	N05B_Anxiolytics	5		adonis	0.0011758355495375	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
856	rpca	9.07923592301694	0.001	N06A_Antidepressants	5		adonis	0.0132064428550495	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
857	rpca	6.01756093318831	0.003	cobre	5		adonis	0.008753002484434	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
858	uwuf	2.81380447944283	0.002	Age	6		adonis	0.004168506054952	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
859	uwuf	3.29165843633375	0.001	Gender	6		adonis	0.004876422019702	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
860	uwuf	1.70317268498401	0.028	GroupAssignment	6		adonis	0.0025231623952033	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
861	uwuf	2.16507799373682	0.009	InBody_BMI	6		adonis	0.0032074512611915	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
862	uwuf	2.61370916340499	0.002	N05B_Anxiolytics	6		adonis	0.0038720751754915	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
863	uwuf	7.30697756148836	0.001	N06A_Antidepressants	6		adonis	0.0108249099861034	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
864	uwuf	4.12068718422604	0.001	cobre	6		adonis	0.0061045853055898	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
865	uwuf	2.81363400943933	0.003	Age	6		adonis	0.004168506054952	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
866	uwuf	1.66362967019894	0.032	DX_MDD	6		adonis	0.002464730782382	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
867	uwuf	3.29145901628546	0.001	Gender	6		adonis	0.004876422019702	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
868	uwuf	2.16494682582666	0.005	InBody_BMI	6		adonis	0.0032074512611915	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
869	uwuf	2.61355081586752	0.002	N05B_Anxiolytics	6		adonis	0.0038720751754915	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
870	uwuf	7.30653487952535	0.001	N06A_Antidepressants	6		adonis	0.0108249099861034	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
871	uwuf	4.12043753875001	0.001	cobre	6		adonis	0.0061045853055898	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
872	uwuf	2.81328993921707	0.001	Age	6		adonis	0.004168506054952	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
873	uwuf	1.58381754134243	0.029	DX_ANX	6		adonis	0.0023467730499411	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
874	uwuf	3.29105651438526	0.001	Gender	6		adonis	0.004876422019702	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
875	uwuf	2.16468208146651	0.006	InBody_BMI	6		adonis	0.0032074512611915	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
876	uwuf	2.61323121317326	0.001	N05B_Anxiolytics	6		adonis	0.0038720751754915	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
877	uwuf	7.30564138695615	0.001	N06A_Antidepressants	6		adonis	0.0108249099861034	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
878	uwuf	4.11993366374175	0.001	cobre	6		adonis	0.0061045853055898	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
879	wuf	8.50188579089375	0.001	Age	6		adonis	0.0125398027826128	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
880	wuf	3.74521950000411	0.004	Gender	6		adonis	0.0055239878613695	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
881	wuf	0.440894251883337	0.83	GroupAssignment	6		adonis	0.0006502941938512	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
882	wuf	1.33876350626806	0.215	InBody_BMI	6		adonis	0.0019746007831747	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
883	wuf	1.03494046478333	0.374	N05B_Anxiolytics	6		adonis	0.0015264789058951	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
884	wuf	6.04844064582474	0.001	N06A_Antidepressants	6		adonis	0.0089211093522591	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
885	wuf	5.8818417017276	0.001	cobre	6		adonis	0.0086753852912505	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
886	wuf	8.50274656585825	0.001	Age	6		adonis	0.0125398027826128	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
887	wuf	0.506849503037686	0.767	DX_MDD	6		adonis	0.0007474987945752	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
888	wuf	3.74559868542973	0.006	Gender	6		adonis	0.0055239878613695	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
889	wuf	1.33889904962138	0.21	InBody_BMI	6		adonis	0.0019746007831747	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
890	wuf	1.03504524751786	0.338	N05B_Anxiolytics	6		adonis	0.0015264789058951	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
891	wuf	6.04905302129181	0.001	N06A_Antidepressants	6		adonis	0.0089211093522591	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
892	wuf	5.88243720985445	0.001	cobre	6		adonis	0.0086753852912505	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
893	wuf	8.51593147311248	0.001	Age	6		adonis	0.0125398027826128	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
894	wuf	1.51711804622566	0.192	DX_ANX	6		adonis	0.0022339730137188	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
895	wuf	3.75140685234337	0.006	Gender	6		adonis	0.0055239878613695	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
896	wuf	1.34097523284703	0.21	InBody_BMI	6		adonis	0.0019746007831747	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
897	wuf	1.03665025543933	0.348	N05B_Anxiolytics	6		adonis	0.0015264789058951	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
898	wuf	6.058433073072	0.001	N06A_Antidepressants	6		adonis	0.0089211093522591	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
899	wuf	5.89155889641067	0.001	cobre	6		adonis	0.0086753852912505	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
900	rpca	4.08668595836488	0.007	Age	6		adonis	0.0059379292359373	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
901	rpca	12.9600204190282	0.001	Gender	6		adonis	0.0188308289231217	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
902	rpca	0.294949097977609	0.778	GroupAssignment	6		adonis	0.0004285592017193	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
